,category,headline,authors,link,short_description,date
0,WORLD NEWS,"South Korea Working To Formally End The Korean War. Yes, That Korean War.",Nick Visser,https://www.huffingtonpost.com/entry/south-korea-north-korea-peace-treaty_us_5ad7f8ace4b03c426dab240a,"For more than 60 years, an official peace treaty has remained elusive. Until now.",2018-04-19
1,TRAVEL,Savor the South at One of These Summer Festivals,"Carolyn Bass, ContributorWriter, traveler, foodie, founder and moderator of #LitChat on...",https://www.huffingtonpost.com/entry/savor-the-south-at-one-of_b_7417714.html,"Georgia's private Sea Island will open to the public for its first-ever festival of Southern food, beverages and music. The three-day festival beginning June 19 will take place within the various resort properties that comprise the exclusive Sea Island resort complex.",2015-05-22
2,WORLD NEWS,Storm Surge Warnings Issued For Gulf Coast As Tropical Storm Nate Strengthens,,https://www.huffingtonpost.com/entry/tropical-storm-nate-central-america_us_59d72a2fe4b0f6eed34f70a4,The storm has already killed 22 people in Central America.,2017-10-06
3,TRAVEL,Panama City Is Central America's Past And Future (PHOTOS),"Mark Chesnut, Contributor
Founder and editor, LatinFlyer.com",https://www.huffingtonpost.com/entry/hot-spot-why-panama-city_us_5b9cb86ae4b03a1dcc8131cc,"In Panama City, high rise steel looms over tin roofs and street vendors compete with fancy restaurants, where the country's namesake hats don't look a bit out of place.",2013-01-16
4,TRAVEL,Things to Do in the Land of the Royal Family,"FlipKey, Contributor
Vacation rental marketplace",https://www.huffingtonpost.com/entry/things-to-do-in-the-land_us_5b9d5b63e4b03a1dcc870814,"With all the royal baby excitement, we're just about ready to book a trip to the visit the royal family in person. In preparation, we've highlighted fun things to do in Reading, where the duchess was born, Bucklebury, where she grew up, and Anglesley, where the royal couple has been living.",2013-07-22
5,WORLD NEWS,"Huge Fire Erupts At Tomorrowland Festival In Spain, Forces Evacuation Of 22,000 Revelers",Dominique Mosbergen,https://www.huffingtonpost.com/entry/tomorrowland-fire-spain_us_597dacb4e4b02a4ebb75ef4b,Videos show the main stage engulfed in flames.,2017-07-30
6,WORLD NEWS,"After The Mayor's Defeat, Lampedusian Voters Face A Global Media Backlash","The Conversation Global, ContributorThe Conversation is a collaboration between editors and academ...",https://www.huffingtonpost.com/entry/after-the-mayors-defeat-lampedusian-voters-face-a_us_595655f8e4b0326c0a8d0f8e,,2017-06-30
7,TRAVEL,10 Autumn Trips Not To Miss (PHOTOS),"JustLuxe, Contributor
The Affluent Lifestyle Guide",https://www.huffingtonpost.com/entry/top-10-items-on-our-autum_us_5b9c6bc3e4b03a1dcc7e8275,"Autumn brings grape-picking season at wineries, family holiday feasts and weekend harvest festivals.",2012-10-18
8,TRAVEL,"ANA Jet's Landing Is So Rough, Plane's Fuselage Is Bent (VIDEO)",,https://www.huffingtonpost.com/entry/ana-jets-landing-is-so-rough-bends-fuselage_us_5b9be168e4b03a1dcc7aef3e,"We've seen our fair share of scary plane landings. Footage taken in Bilbao, Spain once showed planes bouncing around in the",2012-06-21
9,WORLD NEWS,Up To 58 Australian Refugees To Fly To U.S. As Part Of Resettlement Deal,Josh Butler,https://www.huffingtonpost.com/entry/australia-refugee-resettlement-united-states_us_5a6682d9e4b0e5630072d63e,"It's the second group of refugees arriving under what Trump called a “dumb deal.""",2018-01-23
