headline,authors,link,short_description,date,c_id
how can you miss america's national parks if they never go away? (video),"christopher elliott, contributor
author, how to be the world's smartest traveler (and save time...",https://www.huffingtonpost.com/entry/how-can-you-miss-americas_us_5b9d9c76e4b03a1dcc8a34f4,"how can you miss america's national parks if they never go away? (video)national parks define us as americans. they represent everything that's right about us. in a country built on capitalism that celebrates the free market, national parks are quiet reminders that we aren't defined by the success of our economy, or even our government. there's more to us than that.",2013-10-21,1
eating at the world's best restaurant: el celler de can roca,"scott adams, contributor
adventure travel and new media junkie. in my spare time i'm th...",https://www.huffingtonpost.com/entry/eating-at-the-worlds-best_us_5b9dfa8ee4b03a1dcc8fcb25,"eating at the world's best restaurant: el celler de can roca""maybe i expected more or maybe i expected the experience to be more memorable after almost one year waiting for the meal. i think it's become some sort of celebrity thing and a place where you should go if you get the chance, no matter how and that it has to be good.""",2014-04-10,1
will the palestinians ever play their cards right?,"alon ben-meir, contributorsenior fellow, center for global affairs, nyu",https://www.huffingtonpost.com/entry/will-the-palestinians-ever-play-their-cards-right_us_59df7834e4b0cee7b9549e51,will the palestinians ever play their cards right?the current efforts to reconcile between the palestinian authority (pa) and hamas will be doomed to fail just like several,2017-10-12,0
"ciao, bella! where to find italy's sexy nightlife","party earth, contributor
contributor",https://www.huffingtonpost.com/entry/ciao-bella-where-to-find_us_5b9d572ce4b03a1dcc86db51,"ciao, bella! where to find italy's sexy nightlifemoyo la maison the aptly named skyline bar (also located in venice) is an opportune way in which to take in the splendor",2013-07-26,1
world's only flying eye hospital provides eye care to those in need,madeline diamond,https://www.huffingtonpost.com/entry/flying-eye-hospital_us_577e7ff2e4b0344d514e320b,"world's only flying eye hospital provides eye care to those in need""a 15-minute surgery is all most of these people need to restore their sight.""",2016-07-08,1
healthy travel: 5 hotel chains that make it easy to stay fit on the road (photos),"oyster.com, contributor
the hotel tell-all",https://www.huffingtonpost.com/entry/healthy-travel-5-hotel-ch_us_5b9d2085e4b03a1dcc84b2c4,"healthy travel: 5 hotel chains that make it easy to stay fit on the road (photos)staying fit on the road is never easy, particularly when it comes to eating well. many of us let our diets go out the window",2013-05-03,1
"extremism report puts saudi arabia and british pm may on the spot, strengthens qatar in gulf crisis","james m. dorsey, contributors. rajaratnam school of international studies, senior fellow",https://www.huffingtonpost.com/entry/extremism-report-puts-saudi-arabia-and-british-pm-may_us_595d9718e4b08f5c97d06705,"extremism report puts saudi arabia and british pm may on the spot, strengthens qatar in gulf crisisby james m. dorsey a report charging saudi arabia with funding extremism in britain puts both the kingdom and prime minister",2017-07-06,0
at least 5 dead in violent clashes in nicaragua over social security changes,mary papenfuss and mari hayman,https://www.huffingtonpost.com/entry/3-dead-nicaragua-clashes_us_5ada893ce4b009869bf97282,at least 5 dead in violent clashes in nicaragua over social security changesthousands take to the streets as discontent with government crackdowns builds amid roiling protests.,2018-04-21,0
pump up the testosterone -- 12 ultimate guy getaways,"susan kohlback, contributor
wickedgoodtraveltips.com",https://www.huffingtonpost.com/entry/pump-up-the-testosterone_us_5b9dfc45e4b03a1dcc8fec4c,pump up the testosterone -- 12 ultimate guy getawaysit's been a long hard winter of shoveling snow and chipping ice and the guys just need to be let out to play.,2014-04-15,1
top tips for picking the right cruise stateroom,"anita dunham-potter, contributor
cruise journalist and consumer advocate",https://www.huffingtonpost.com/entry/top-tips-for-picking-the_us_5b9c5b20e4b03a1dcc7e0589,"top tips for picking the right cruise stateroomthe average hotel room in the united states measures 300 square feet; in contrast, the average cruise cabin measures about 175 square feet. it's what you get for that space that's important.",2012-10-01,1
